Title,Track,Artist,Song
Best of Rock Vol. XVI,12,Deftones,When Girls Telephone Boys
Best of Rock Vol. XVI,13,Helmet,Unsung
Best of Rock Vol. XVI,14,System of a Down,Suite-Pee
Best of Rock Vol. XVI,15,Pearl Jam,Jeremy
Best of Rock Vol. XVI,16,Incubus,Idiot Box
Best of Rock Vol. XVI,17,Sevendust,Fall
Best of Rock Vol. XVI,18,Soundgarden,Pretty Noose
Best of Rock Vol. XVI,19,Sonic Youth,Starlit Road
Best of Rock Vol. XVI,20,The Clash,Should I Stay or Should I Go
The Very Best of Rock (Vol. 1-10) Disc 1,1,Skinny Puppy,Worlock
The Very Best of Rock (Vol. 1-10) Disc 1,2,Deftones,7 Words
The Very Best of Rock (Vol. 1-10) Disc 1,3,Static-X,Cold
The Very Best of Rock (Vol. 1-10) Disc 1,4,Professional Murder Music,Slow
The Very Best of Rock (Vol. 1-10) Disc 1,5,System of a Down,Toxicity
The Very Best of Rock (Vol. 1-10) Disc 1,6,Tool,Prison Sex
The Very Best of Rock (Vol. 1-10) Disc 1,7,Cold,No One
The Very Best of Rock (Vol. 1-10) Disc 1,8,KMFDM,Adios
The Very Best of Rock (Vol. 1-10) Disc 1,9,Soilwork,Needlefeast
The Very Best of Rock (Vol. 1-10) Disc 1,10,Apartment 26,Apt. 26
The Very Best of Rock (Vol. 1-10) Disc 1,11,Dead Kennedys,Soup Is Good Food
The Very Best of Rock (Vol. 1-10) Disc 1,12,A Perfect Circle,Judith
The Very Best of Rock (Vol. 1-10) Disc 1,13,Endo,Suffer
The Very Best of Rock (Vol. 1-10) Disc 1,14,Glassjaw,Radio Cambodia
The Very Best of Rock (Vol. 1-10) Disc 1,15,Korn,Blind
The Very Best of Rock (Vol. 1-10) Disc 1,16,Mudvayne,Dig
The Very Best of Rock (Vol. 1-10) Disc 1,17,30 Seconds to Mars,Capricorn
The Very Best of Rock (Vol. 1-10) Disc 1,18,Tool,Opiate
The Very Best of Rock (Vol. 1-10) Disc 2,1,Cold,Just Got Wicked
The Very Best of Rock (Vol. 1-10) Disc 2,2,Tool,Stinkfist
The Very Best of Rock (Vol. 1-10) Disc 2,3,System of a Down,Metro
The Very Best of Rock (Vol. 1-10) Disc 2,4,KMFDM,Anarchy
The Very Best of Rock (Vol. 1-10) Disc 2,5,At the Drive-In,One-Armed Scissor
The Very Best of Rock (Vol. 1-10) Disc 2,6,Dead Kennedys,Passenger
The Very Best of Rock (Vol. 1-10) Disc 2,7,Anthrax,Got the Time
The Very Best of Rock (Vol. 1-10) Disc 2,8,Deftones,Passenger
The Very Best of Rock (Vol. 1-10) Disc 2,9,Gravity Kills,Enough
The Very Best of Rock (Vol. 1-10) Disc 2,10,Spineshank,Synthetic
The Very Best of Rock (Vol. 1-10) Disc 2,11,Tool,Parabol
The Very Best of Rock (Vol. 1-10) Disc 2,12,Tool,Parabola
The Very Best of Rock (Vol. 1-10) Disc 2,13,Stabbing Westward,Darkest Days
The Very Best of Rock (Vol. 1-10) Disc 2,14,Lostprophets,Shinobi vs. Dragon Ninja
The Very Best of Rock (Vol. 1-10) Disc 2,15,Queens of the Stone Age,No One Knows
The Very Best of Rock (Vol. 1-10) Disc 2,16,Disturbed,Prayer
The Very Best of Rock (Vol. 1-10) Disc 2,17,Prick,Animal
Best of Rock Vol. XVII,1,Rage Against the Machine,Killing in the Name
Best of Rock Vol. XVII,2,Glassjaw,Cosmopolitan Bloodloss
Best of Rock Vol. XVII,3,Mod Flanders Conspiracy,Bill Nye the Science Guy Makes Me Wanna Cut Myself
Best of Rock Vol. XVII,4,Killswitch Engage,My Last Serenade
Best of Rock Vol. XVII,5,A Static Lullaby,"Love to Hate, Hate to Me"
Best of Rock Vol. XVII,6,Dead Kennedys,MTV Get Off the Air
Best of Rock Vol. XVII,7,Tool,Ænema
Best of Rock Vol. XVII,8,Deftones,Bloody Cape
Best of Rock Vol. XVII,9,Stabbing Westward,Drugstore
Best of Rock Vol. XVII,10,Blur,Song 2
Best of Rock Vol. XVII,11,The Clash,The Magnificent Seven
Best of Rock Vol. XVII,12,Weezer,Say It Ain't So
Best of Rock Vol. XVII,13,AFI,Leaving Song Pt. II
Best of Rock Vol. XVII,14,311,Sick Tight
Best of Rock Vol. XVII,15,Meshuggah,Rational Gaze
Best of Rock Vol. XVII,16,Incubus,Nice to Know You
Best of Rock Vol. XVII,17,Pearl Jam,Black
Best of Rock Vol. XVII,18,Led Zeppelin,No Quarter
Best of Rock Vol. XVIII,1,Toadies,Possum Kingdom
Best of Rock Vol. XVIII,2,Kyuss,Demon Cleaner
Best of Rock Vol. XVIII,3,Weezer,El Scorcho
Best of Rock Vol. XVIII,4,Nirvana,Territorial Pissings
Best of Rock Vol. XVIII,5,Guttermouth,Contribution
Best of Rock Vol. XVIII,6,Rage Against the Machine,Vietnow
Best of Rock Vol. XVIII,7,Bad Religion,A Walk
Best of Rock Vol. XVIII,8,Deftones,Lhabia
Best of Rock Vol. XVIII,9,At the Drive-In,Napoleon Solo
Best of Rock Vol. XVIII,10,Tool,The Patient
Best of Rock Vol. XVIII,11,Dog Fashion Disco,Pogo the Clown
Best of Rock Vol. XVIII,12,AFI,Dancing Through Sunday
Best of Rock Vol. XVIII,13,Dropkick Murphys,Gonna Be a Blackout Tonight
Best of Rock Vol. XVIII,14,Soundgarden,The Day I Tried to Live
Best of Rock Vol. XVIII,15,Distillers,I Am a Revenant
Best of Rock Vol. XVIII,16,Apex Theory,Shh... (Hope Diggy)
Best of Rock Vol. XVIII,17,The Offspring,The Kids Aren't Alright
Best of Rock Vol. XVIII,18,Dead Kennedys,Stars and Stripes of Corruption
Best of Rock Vol. XVIII,19,Sublime,Doin' Time
Best of Rock Vol. XIX,1,Puscifier,REV 22:20
Best of Rock Vol. XIX,2,A Perfect Circle,Pet
Best of Rock Vol. XIX,3,Rage Against the Machine,Born of a Broken Man
Best of Rock Vol. XIX,4,At the Drive-In,Enfilade
Best of Rock Vol. XIX,5,Audioslave,Show Me How to Live
Best of Rock Vol. XIX,6,Jimmy Eat World,Bleed American
Best of Rock Vol. XIX,7,Faith No More,War Pigs
Best of Rock Vol. XIX,8,Jane's Addiction,Just Because
Best of Rock Vol. XIX,9,Glassjaw,Ape Dos Mil
Best of Rock Vol. XIX,10,The Offspring,Genocide
Best of Rock Vol. XIX,11,Serart,Narina
Best of Rock Vol. XIX,12,Sevendust,Bitch
Best of Rock Vol. XIX,13,White Zombie,More Human Than Human
Best of Rock Vol. XIX,14,Sonic Youth,Teen Age Riot
Best of Rock Vol. XIX,15,Incubus,Stellar
Best of Rock Vol. XIX,16,Collective Soul,December
Best of Rock Vol. XX,1,Korn,Good God
Best of Rock Vol. XX,2,KMFDM,WWIII
Best of Rock Vol. XX,3,Spineshank,Smothered
Best of Rock Vol. XX,4,A Perfect Circle,The Package
Best of Rock Vol. XX,5,Finch,Worms of the Earth
Best of Rock Vol. XX,6,Static-X,Destroy All
Best of Rock Vol. XX,7,Marilyn Manson & Eminem,The Way I Am
Best of Rock Vol. XX,8,Live,Selling the Drama
Best of Rock Vol. XX,9,Tool,You Lied
Best of Rock Vol. XX,10,Bad Religion,Against the Grain
Best of Rock Vol. XX,11,Glassjaw,Tip Your Bartender
Best of Rock Vol. XX,12,Watson One Shirt,Eat Shit
Best of Rock Vol. XX,13,AFI,This Secret Ninja
Best of Rock Vol. XX,14,The Clash,Clash City Rockers
Best of Rock Vol. XX,15,Rage Against the Machine,Testify
Best of Rock Vol. XX,16,System of a Down,CUBErt
Best of Rock Vol. XX,17,Mod Flanders Conspiracy,The Zimbabwe Sea Shanties of the Swashbuckler
Best of Rock Vol. XX,18,Deftones,Back to School (Mini Maggit)
Best of Rock Vol. XX,19,Gravity Kills,Inside
Best of Rock Vol. XX,20,TRUSTcompany,Downfall
Best of Rock Vol. XXI,1,Nine Inch Nails,Closer
Best of Rock Vol. XXI,2,Ministry,Stigmata
Best of Rock Vol. XXI,3,Smashing Pumpkins,Today
Best of Rock Vol. XXI,4,Static-X,Get to the Gone
Best of Rock Vol. XXI,5,Thursday,For the Workforce Drowning
Best of Rock Vol. XXI,6,The Clash,Hitsville U.K.
Best of Rock Vol. XXI,7,Incubus,A Certain Shade of Green
Best of Rock Vol. XXI,8,Alice in Chains,I Stay Away
Best of Rock Vol. XXI,9,Rage Against the Machine,Darkness
Best of Rock Vol. XXI,10,Tool,No Quarter
